estimator,data_model,hurst,length,scenario,estimated_hurst,error,success,execution_time,framework
Adaptive_DMA,fgn,0.5,2000,eeg_movement_artifacts,0.018854446162331197,0.4811455538376688,True,0.004857778549194336,numba
Adaptive_Higuchi,fgn,0.5,2000,eeg_movement_artifacts,1.0068462654760482,0.5068462654760482,False,0.02553534507751465,numba
Adaptive_GPH,fgn,0.5,2000,eeg_movement_artifacts,0.6263741366565228,0.12637413665652275,True,0.011349678039550781,numba
Adaptive_Whittle,fgn,0.5,2000,eeg_movement_artifacts,0.7,0.19999999999999996,True,0.002849102020263672,numba
Adaptive_Periodogram,fgn,0.5,2000,eeg_movement_artifacts,0.5173274502158165,0.017327450215816498,True,0.01012873649597168,numba
Adaptive_RS,fbm,0.7,1000,pure,0.7388737335023061,0.03887373350230616,True,0.7722666263580322,numba
Adaptive_DFA,fbm,0.7,1000,pure,0.11269437348323524,0.5873056265167647,True,0.07396197319030762,numba
Adaptive_DMA,fbm,0.7,1000,pure,0.059964298819955054,0.6400357011800449,True,0.0039768218994140625,numba
Adaptive_Higuchi,fbm,0.7,1000,pure,1.082465349085468,0.38246534908546814,False,0.0203549861907959,numba
Adaptive_GPH,fbm,0.7,1000,pure,0.7133514136075974,0.013351413607597395,True,0.012699127197265625,numba
Adaptive_Whittle,fbm,0.7,1000,pure,0.7,0.0,True,0.002713918685913086,numba
Adaptive_Periodogram,fbm,0.7,1000,pure,0.5639180094003677,0.13608199059963222,True,0.010054588317871094,numba
Adaptive_RS,fbm,0.7,1000,eeg_ocular_artifacts,0.7388737335023061,0.03887373350230616,True,0.8249914646148682,numba
Adaptive_DFA,fbm,0.7,1000,eeg_ocular_artifacts,0.11269437348323524,0.5873056265167647,True,0.06283450126647949,numba
Adaptive_DMA,fbm,0.7,1000,eeg_ocular_artifacts,0.059964298819955054,0.6400357011800449,True,0.003924369812011719,numba
Adaptive_Higuchi,fbm,0.7,1000,eeg_ocular_artifacts,1.082465349085468,0.38246534908546814,False,0.020407915115356445,numba
Adaptive_GPH,fbm,0.7,1000,eeg_ocular_artifacts,0.7133514136075974,0.013351413607597395,True,0.012441873550415039,numba
Adaptive_Whittle,fbm,0.7,1000,eeg_ocular_artifacts,0.7,0.0,True,0.0025854110717773438,numba
Adaptive_Periodogram,fbm,0.7,1000,eeg_ocular_artifacts,0.5639180094003677,0.13608199059963222,True,0.00937199592590332,numba
Adaptive_RS,fbm,0.7,1000,eeg_muscle_artifacts,0.7388737335023061,0.03887373350230616,True,0.753840446472168,numba
Adaptive_DFA,fbm,0.7,1000,eeg_muscle_artifacts,0.11269437348323524,0.5873056265167647,True,0.052817344665527344,numba
Adaptive_DMA,fbm,0.7,1000,eeg_muscle_artifacts,0.059964298819955054,0.6400357011800449,True,0.003718137741088867,numba
Adaptive_Higuchi,fbm,0.7,1000,eeg_muscle_artifacts,1.082465349085468,0.38246534908546814,False,0.01763296127319336,numba
Adaptive_GPH,fbm,0.7,1000,eeg_muscle_artifacts,0.7133514136075974,0.013351413607597395,True,0.010890007019042969,numba
Adaptive_Whittle,fbm,0.7,1000,eeg_muscle_artifacts,0.7,0.0,True,0.002141237258911133,numba
Adaptive_Periodogram,fbm,0.7,1000,eeg_muscle_artifacts,0.5639180094003677,0.13608199059963222,True,0.007070779800415039,numba
